ID,Design Requirement Description,Interface,Sequence,Stimulus Generation,Generation Type,Checking,Checking Type,Coverage
RX_1,"RX-Controller Reset & IdleVerify that upon global reset or LTSM RESET state, the RX datapath is cleanly reset, LFSR seeds are initialized, and no valid data is presented to the RDI.","rp_ltsmc_bfm
rp_rmblink_bfm
rp_rdi_bfm","vseq_rx_reset_test
- ltsmc_seq (rx_encoding=RESET)
- rmblink_idle_seq","rx_encoding set to RESET/0x00. rmblink_seq_item: idle_ui_cnt randomized, clk_stream/data held at idle states.",Directed,"Verify o_rx_done, o_clk_results, o_valid_results remain 0. o_pl_valid on RDI remains low.",Assertions (Control) & Scoreboard (Data),LTSM state transition to RESET.
RX_2,Clock Pattern Detection (Pass)Verify that the pattern detector correctly identifies a valid alternating clock sequence (Half-Rate/Quad-Rate) for 16 consecutive windows.,"rp_rmblink_bfm
rp_ltsmc_bfm","vseq_clk_pattern_detect
- ltsmc_seq (rx_encoding=CLK_TRAIN)
- rmblink_clk_seq",rmblink_seq_item: clk_stream_p and clk_stream_n populated with perfectly alternating 1/0 patterns. pattern_type=CLK_PATTERN.,Randomized,Verify o_clk_results transitions to success (1) after exactly 16 consecutive valid 48-bit windows.,Assertions,Valid alternating clock pattern detection.
RX_3,Clock Pattern Detection (Error)Verify that injecting noise/errors into the clock stream resets the consecutive window counter and prevents false detection.,"rp_rmblink_bfm
rp_ltsmc_bfm","vseq_clk_pattern_err
- ltsmc_seq (rx_encoding=CLK_TRAIN)
- rmblink_err_seq",rmblink_seq_item: clk_stream_p and n populated with alternating patterns but with random bit-flips injected within the 16 windows.,Randomized,Verify o_clk_results remains 0. Counter reset logic must trigger upon error detection.,Assertions,Corrupted clock pattern recovery.
RX_4,Valid Pattern DetectionVerify that the pattern detector correctly identifies the Valid pattern utilizing the error threshold provided by LTSM.,"rp_rmblink_bfm
rp_ltsmc_bfm","vseq_valid_pattern_detect
- ltsmc_seq (rx_encoding=VAL_TRAIN)
- rmblink_val_seq",rmblink_seq_item: val_stream generated with standard 8'b1111_0000 framing. ltsmc_seq_item: randomize error_threshold.,Randomized,"Verify o_valid_results transitions to 1 when errors are within error_threshold, and 0 if errors exceed it.",Assertions,Valid threshold compare boundaries.
RX_5,"Lane ID Detection (MBINIT)Verify per_lane_id_detector successfully detects logical lane numbers (Bit 0-7 static, 8-15 ID) across all 16 physical lanes.","rp_rmblink_bfm
rp_ltsmc_bfm","vseq_mbinit_lane_id
- ltsmc_seq (rx_encoding=MBINIT)
- rmblink_data_seq",rmblink_seq_item: data array driven with 16-bit Lane ID patterns mapped to each lane index. val_stream driven high.,Directed,Verify o_rx_data_results bits assert high per lane after 16 consecutive matches.,Scoreboard,All 16 logical lane IDs detected.
RX_6,Lane ID Detection (Error)Verify per_lane_id_detector drops consecutive counter if a Lane ID pattern is corrupted during the MBINIT state.,"rp_rmblink_bfm
rp_ltsmc_bfm","vseq_mbinit_lane_id_err
- ltsmc_seq (rx_encoding=MBINIT)
- rmblink_err_data_seq",rmblink_seq_item: Corrupt the 16-bit payload in data on a random subset of lanes before the 16th window.,Randomized,Verify o_rx_data_results bit remains 0 for the specifically corrupted lanes.,Scoreboard,Lane ID failure detection per lane.
RX_7,LFSR Descrambling (ACTIVE)Verify the RX_LFSR correctly descrambles incoming payload data utilizing modulo 8 logic for lane seeds.,"rp_rmblink_bfm
rp_ltsmc_bfm
rp_rdi_bfm","vseq_active_data_descramble
- ltsmc_seq (rx_encoding=ACTIVE)
- rmblink_data_seq","rmblink_seq_item: data payload populated with highly randomized data, scrambled by TB. rx_encoding=ACTIVE.",Randomized,Verify rp_rdi_bfm.o_pl_data exactly matches the original unscrambled sequence generated by the testbench.,Scoreboard,LFSR seeds per lane (0 to 7) exercised.
RX_8,x16 Lane-to-Byte MappingVerify the L2B block maps the 16 physical lanes directly to the full RDI byte output without degradation.,"rp_rmblink_bfm
rp_ltsmc_bfm
rp_rdi_bfm","vseq_l2b_map_x16
- ltsmc_seq (lane_map=011b)
- rmblink_data_seq",ltsmc_seq_item: lane_map_code = 011b. rmblink_seq_item: randomized data across all 16 lanes.,Randomized,Check scoreboard mapping: Physical Lane N maps to RDI Byte N (N: 0 to 15).,Scoreboard,011b (x16) lane mapping code.
RX_9,Width Degrade: x8 ModeVerify L2B mapping when the Standard Package degrades to x8 operating mode (Lanes 0-7 or 8-15).,"rp_rmblink_bfm
rp_ltsmc_bfm
rp_rdi_bfm","vseq_l2b_degrade_x8
- ltsmc_seq (lane_map=001b/010b)
- rmblink_data_seq",ltsmc_seq_item: randomize lane_map_code between 001b (0-7) and 010b (8-15).,Randomized,Check scoreboard mapping: Only active subset of lanes is mapped to the lower bytes of RDI o_pl_data.,Scoreboard,001b and 010b lane mapping codes.
RX_10,Width Degrade: x4 ModeVerify L2B mapping when the Standard Package degrades to x4 operating mode.,"rp_rmblink_bfm
rp_ltsmc_bfm
rp_rdi_bfm","vseq_l2b_degrade_x4
- ltsmc_seq (lane_map=100b/101b)
- rmblink_data_seq","ltsmc_seq_item: randomize lane_map_code over valid x4 combinations (e.g., 100b, 101b).",Randomized,Check scoreboard mapping: 4 active lanes map sequentially to o_pl_data bytes.,Scoreboard,All x4 lane mapping codes.
